district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Nashik,P51600005667,Tulip B Eco,Ashoka Township (AOP),422103,"('19.862768673649680','73.980472711778250')",On-Going Project,06/30/2019,06/30/2019,,Residential,720.0,0.0,845.99,07/20/2022,3.0,,28.0,22.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0
Nashik,P51600005843,Malhar Hills Residency,Rishiraj Ramesh Verma,422401,"('19.874590200000000','75.308661500000000')",On-Going Project,12/21/2019,12/21/2019,06/30/2023,Residential,5900.0,147.37,1875.24,07/31/2017,,,23.0,0.0,0.0,7.0,0.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0
Nashik,P51600011071,TIRUMALLA GLORY,SHREE VENKATESH DEVELOPERS,422222,"('18.470636800000000','73.921808900000000')",On-Going Project,12/31/2018,12/31/2018,,Residential,645.0,0.0,899.63,02/27/2020,,,15.0,12.0,0.0,1.0,0.0,5.0,1.0,5.0,10.0,0.0,0.0,0.0
Nashik,P51600009139,Vande Residency,VANDE DEVELOPERS,422009,"('19.172534800000000','72.857738400000000')",On-Going Project,11/01/2020,08/01/2020,,Residential,1080.0,0.0,1497.36,11/06/2023,,,36.0,14.0,0.0,2.0,0.0,10.0,0.0,0.0,23.0,0.0,0.0,0.0
Nashik,P51600012058,SAMARTH PLAZA,TUKARAM TANAJI WAGH,422003,"('21.105171100000000','79.085688500000000')",On-Going Project,01/25/2018,07/25/2018,,Residential,332.5,0.0,462.5,01/20/2023,,,12.0,9.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
Nashik,P51600008494,VIMAL PRIDE,DEEPAK KACHARU HANDGE,422003,"('18.981045100000000','72.826757900000000')",On-Going Project,04/30/2022,07/31/2022,,Residential,647.55,0.0,641.51,04/24/2019,,,16.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Nashik,P51600008879,Mayur Majesty,Kirtikumar Jadhavji Pokar,422004,"('18.509207500000000','73.911930300000000')",On-Going Project,12/31/2018,12/31/2018,12/31/2019,Residential,427.85,0.0,599.0,10/12/2019,,,14.0,0.0,0.0,1.0,0.0,5.0,1.0,3.0,11.0,0.0,0.0,0.0
Nashik,P51600010217,MITTAL APPARTMENT,MOHAMMAD ILIYAS ABDUL SATTAR GORI,422008,"('20.007554900000000','75.192475500000000')",On-Going Project,08/08/2017,01/09/2019,01/08/2020,Residential,693.65,0.0,1098.58,12/16/2022,,,14.0,9.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
Nashik,P51600009666,SHAJANAND PARK,SHREE HARIKRUSHNA DEVELOPERS,422003,"('18.486580700000000','73.850110300000000')",On-Going Project,12/31/2019,12/31/2019,,Residential,1208.9,0.0,1567.17,07/06/2020,,,34.0,0.0,0.0,1.0,0.0,3.0,0.0,34.0,0.0,0.0,0.0,0.0
Nashik,P51600006111,SHREE HARI APARTMENT,KISHOR JIVRAJBHAI JETHVA,422003,"('17.699359800000000','74.003570900000000')",On-Going Project,07/31/2018,07/31/2018,,Residential,256.5,0.0,359.1,08/02/2021,,,12.0,11.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Nashik,P51600009138,GURUSNEH,M M ASSOCIATES,422011,"('19.136792700000000','72.857909500000000')",On-Going Project,10/30/2018,10/30/2018,10/30/2019,Residential,523.75,0.0,731.0,12/31/2019,,,16.0,8.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
Nashik,P51600005856,NILANJAN SHRI,BY BUILDERS & DEVELOPERS,422013,"('19.023175000000000','72.843432400000000')",On-Going Project,12/31/2018,12/31/2018,,Residential,1309.5,0.0,3925.0,09/28/2020,,,49.0,36.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
Nashik,P51600006743,BHASKAR PLANET APARTMENT,CHANDUBHAI LAXMANBHAI PATEL,422003,"('18.522595700000000','73.933950000000000')",On-Going Project,12/31/2018,12/31/2018,01/31/2020,Residential,603.75,0.0,1282.38,12/31/2019,,,22.0,14.0,0.0,1.0,0.0,7.0,1.0,8.0,4.0,0.0,0.0,0.0
Nashik,P51600009298,KARMAA PINNACLE,PINNACLE HABITATS LLP,422011,"('19.136792700000000','72.857909500000000')",On-Going Project,07/30/2019,07/30/2019,,Residential,1043.25,0.0,1460.25,09/24/2020,,,32.0,0.0,1.0,1.0,0.0,6.0,0.0,17.0,0.0,0.0,0.0,0.0
Nashik,P51600006162,ASHOK RESIDENCY,Jitu Ashok Pawar,422007,"('21.097704900000000','79.129451600000000')",On-Going Project,12/31/2018,12/31/2018,10/30/2020,Residential,783.0,0.0,1091.52,10/02/2021,,,36.0,26.0,0.0,1.0,0.0,5.0,1.0,36.0,1.0,0.0,0.0,0.0
Nashik,P51600013040,SHREE GANESHA PARK,KRANTI BUILDCON,422003,"('18.605837000000000','73.909996000000000')",On-Going Project,07/29/2017,12/31/2017,,Residential,644.0,0.0,644.0,01/10/2024,,,22.0,21.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
Nashik,P51600009960,Antariksha Apartment,Ravi Mahajan Builders & Developers Pvt.Ltd.,422009,"('19.136792700000000','72.857909500000000')",On-Going Project,06/30/2018,05/31/2019,,Residential,4730.0,473.0,8901.33,07/19/2022,,,120.0,118.0,0.0,1.0,0.0,13.0,1.0,86.0,40.0,0.0,0.0,0.0
Nashik,P51600004972,VRINDAVAN,NIRMITI BUILDERS AND DEVELOPERS,422010,"('19.034464700000000','73.011009600000000')",On-Going Project,08/31/2017,12/31/2017,12/31/2018,Residential,586.67,0.0,789.77,06/22/2022,,1.0,21.0,8.0,0.0,1.0,0.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0
Nashik,P51600011733,Shree Sai Villas,Shree Buildcon realty,422103,"('18.501960600000000','73.933024200000000')",New Project,03/31/2019,,09/30/2020,Residential,1107.0,0.0,1338.4,11/01/2021,,,33.0,29.0,0.0,2.0,0.0,6.0,0.0,0.0,10.0,0.0,0.0,0.0
