district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Mumbai City,P51900034949,Lodha Malabar,Macrotech Developers Limited,400006,,New Project,06/30/2026,,06/29/2027,Residential,4390.96,947.41,17541.51,11/24/2023,,,27.0,12.0,0.0,2.0,10.0,59.0,0.0,0.0,155.0,0.0,0.0,0.0
Mumbai City,P51900049370,SARAH HEIGHTS,SARAH CONSTRUCTIONS,400007,,New Project,12/31/2023,,,Residential,428.1,0.0,3482.85,02/01/2023,,,16.0,0.0,0.0,1.0,2.0,20.0,0.0,0.0,8.0,0.0,0.0,0.0
Mumbai City,P51900034807,Soutth Bay,M/S. SAMBHAV SHELTERS,400002,,New Project,12/30/2026,,,Others,153.64,0.0,1366.56,01/15/2024,,,13.0,3.0,0.0,1.0,0.0,22.0,0.0,0.0,123.0,0.0,0.0,0.0
Mumbai City,P51900035024,9th Avenue,Aureum Homes LLP,400056,"('19.104957633426768','72.841929185475140')",New Project,03/31/2025,,,Residential,1037.63,0.0,2801.1,01/20/2024,,,28.0,21.0,0.0,1.0,0.0,14.0,1.0,0.0,50.0,0.0,0.0,0.0
Mumbai City,P51900034851,Godrej Horizon Phase I,Godrej Projects Development Ltd,400031,"('19.013498693830270','72.856246817196630')",New Project,05/31/2028,,,Residential,16434.18,3152.13,35643.42,11/08/2023,,,400.0,261.0,2.0,2.0,0.0,90.0,2.0,16.0,0.0,0.0,0.0,0.0
Mumbai City,P51900045297,SHRI ABHINANDAN,RATNARAJ BUILDERS AND DEVELOPERS LLP,400022,,New Project,12/31/2024,,,Residential,413.88,0.0,1871.14,05/26/2023,,,10.0,0.0,1.0,1.0,0.0,23.0,1.0,2.0,28.0,0.0,0.0,0.0
Mumbai City,P51900045245,Belvedere,J K Estates,400022,,New Project,04/21/2025,,,Residential,503.35,0.0,2085.91,11/17/2023,,,18.0,0.0,1.0,1.0,5.0,17.0,0.0,0.0,23.0,0.0,0.0,0.0
Mumbai City,P51900045422,OCEAN VIEW,VISION REALITY,400010,"('19.017616900000000','72.856128800000000')",New Project,03/31/2026,,,Others,403.5,0.0,0.0,05/16/2022,,,50.0,0.0,0.0,1.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai City,P51900045359,VICEROY BY GROUP SATELLITE,SATELLITE DEVELOPERS PRIVATE LIMITED,400008,"('19.075983700000000','72.877655900000000')",New Project,03/31/2027,,,Residential,800.0,0.0,4231.56,01/18/2024,,,86.0,21.0,1.0,1.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai City,P51900035128,ALLIANCE LEGACY,ALLIANCE CITY DEVELOPERS REALTORS PVT LTD,400019,,New Project,04/30/2025,,,Residential,559.37,0.0,2236.3,01/13/2024,,,11.0,4.0,0.0,1.0,0.0,10.0,0.0,0.0,26.0,0.0,0.0,0.0
