district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking
Nagpur,P50500016213,Elegant Infra,Elegant Infra,440027,"('18.999540700000001','72.839708900000005')",New Project,04/30/2022,,,Residential,499.55,0.0,649.3,08/14/2023,,,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,1.0
Nagpur,P50500015746,Santoshi Apartment,Kavita Jayendra Ahirkar,440034,"('19.038945500000001','72.842054599999997')",New Project,09/30/2020,,,Residential,445.0,0.0,579.0,09/05/2023,,,11.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,4.0
Nagpur,P50500015866,NATH GAJANAN APARTMENT,AMBE BUILDER & DEVELOPERS,441108,"('20.932672000000000','79.003071000000000')",New Project,09/30/2020,,03/30/2022,Residential,459.0,0.0,550.8,10/12/2020,,,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,27.0,1.0,1.0
Nagpur,P50500017013,Radha Vatika,Shree Balaji Buildcon,440007,,New Project,12/31/2019,,,Residential,445.91,0.0,579.68,06/26/2018,,,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0
Nagpur,P50500016139,JAI UMIYA NAGARI,JAI UMIYA INFRA,440034,"('21.074706000000000','79.099057000000000')",New Project,12/30/2022,,,Residential,1793.16,0.0,2995.16,01/18/2023,,,41.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0
Nagpur,P50500016636,Pushkar Gopala,Pushkar Homes Private Limited,440030,,New Project,12/30/2021,,,Residential,728.0,0.0,944.0,10/12/2018,,,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,9.0,9.0
Nagpur,P50500015969,Nakshatra Height,NAKSHATRA INFRAVENTURE,440036,"('21.106195000000000','79.014703000000000')",New Project,09/30/2020,,03/30/2022,Residential,1845.0,0.0,2234.0,03/28/2018,,,42.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,2.0,22.0,2.0
Nagpur,P50500016203,A SINGAPORE LIFE CITY THE MILLENNIUM,SANJEEV ASHOK JAISWAL,440037,"('21.058530000000000','79.086219000000000')",New Project,04/15/2022,,08/23/2022,Residential,1935.03,0.0,3239.23,05/06/2023,,,35.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,1.0
Nagpur,P50500016170,Radhe Govind Niwas,SHRIVARI PROPERTIES,440010,"('21.137252900000000','79.058856000000006')",New Project,12/31/2019,,12/30/2021,Residential,381.6,0.0,681.07,09/19/2023,,,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,1.0
Nagpur,P50500016307,Jayanti Nagari VII-Wing-C-D,Abhijit Realtors & Infraventures Pvt Ltd,440015,"('21.084483000000000','79.103860000000000')",New Project,05/30/2024,,,Residential,5556.11,2000.19,11267.5,03/11/2022,,1.0,156.0,95.0,0.0,0.0,0.0,0.0,2.0,0.0,52.0,2.0,92.0,23.0
Nagpur,P50500016422,Jayanti Nagari VII - Wing G-H,Abhijit Realtors & Infraventures Pvt Ltd,440034,"('21.086099000000000','79.104075000000000')",New Project,05/30/2024,,,Residential,5180.24,2000.09,10987.09,09/05/2022,,,188.0,160.0,0.0,0.0,0.0,0.0,2.0,0.0,48.0,2.0,99.0,40.0
Nagpur,P50500017931,CHAFA,Mahalaxmi Realty and Infrastructures,440013,,On-Going Project,03/31/2021,03/30/2022,12/31/2022,Residential,712.05,0.0,712.0,10/08/2023,,,16.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,4.0,1.0
Nagpur,P50500016910,Pacific Town,Vijay Kailash Joshi,440015,,New Project,03/30/2023,,,Residential,3988.11,0.0,6474.41,06/02/2018,,,72.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0
Nagpur,P50500016600,KESHAO RUKHMINI APARTMENT,DELTA DEVELOPERS,440022,,New Project,12/30/2021,,,Residential,739.0,0.0,2455.76,08/27/2021,,,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,1.0,1.0
Nagpur,P50500016379,ANUPAMA-AMRAPALI HEIGHTS,JARRY PROFITS,440026,"('21.210779899999999','79.104043200000007')",New Project,12/30/2022,,,Residential,1090.5,0.0,1687.58,10/29/2023,,,32.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,16.0
Nagpur,P50500016860,SANSKRUTI SHALINI,SANSKRUTI INFRA,440010,,New Project,12/14/2023,,,Residential,747.86,747.86,1592.54,06/13/2018,,,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,10.0,8.0
Nagpur,P50500016364,Jayanti-Nagari VII-Wing-K-L,Abhijit Realtors & Infraventures Pvt Ltd,440034,"('21.086756000000000','79.104329000000000')",New Project,05/30/2024,,,Residential,5409.46,2000.03,14966.97,12/02/2022,,1.0,258.0,99.0,0.0,0.0,0.0,0.0,2.0,0.0,43.0,2.0,14.0,2.0
Nagpur,P50500016797,ABOLI APARTMENTS,KUSHAL CONSTRUCTIONS,440036,,New Project,11/09/2020,,,Residential,445.9,0.0,878.7,07/12/2022,,,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0
Nagpur,P50500016539,MRIDA MENSION,SHREE BALAJI BRICKS PRIVATE LIMITED,440027,,New Project,09/30/2022,,09/30/2025,Residential,397.47,0.0,397.47,10/13/2023,,,9.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,9.0,4.0
Nagpur,P50500016390,ASHAYAN EXOTICA,Abhijit Pandurang Chalkh,440024,"('19.756488900000001','72.758480000000006')",New Project,10/30/2020,,,Residential,464.52,0.0,577.53,12/02/2021,,,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,1.0
Nagpur,P50500016673,MAA KAUSHALYA HEIGHTS,MAA KAUSHALYA DEVELOPERS,440027,,New Project,12/02/2019,,01/31/2021,Residential,447.23,0.0,578.17,09/10/2018,,,10.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,19.0,14.0
Nagpur,P50500016581,SDPL Royale,SANDEEP DWELLERS PVT. LTD.,440008,"('21.139761405529377','79.140237734651240')",New Project,12/30/2021,,,Residential,1416.46,0.0,1767.34,09/06/2021,,,18.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,39.0,12.0
Nagpur,P50500016634,NIRMAN HORIZON,nirman superstructures,440022,,New Project,12/30/2022,,,Residential,1214.58,0.0,1.0,05/15/2018,,,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0
Nagpur,P50500016557,HIMALAYA SUNSHINE APARTMENT II,HIMALAYA INFRAPROJECTS SUNSHINE UNIT II,440023,,New Project,06/30/2021,,06/30/2022,Residential,4484.89,0.0,11100.0,06/17/2021,,,128.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,1.0,74.0,57.0
Nagpur,P50500016976,WONDER TOWER,ARJUN MADHAORAOJI SHAHANE,440024,,New Project,11/25/2020,,,Residential,796.0,796.0,1034.0,06/22/2018,,,20.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Nagpur,P50500016809,GREENFIELD 2,L G DEVELOPERS AND BUILDERS,441110,,New Project,03/30/2024,,,Residential,10191.0,0.0,12228.0,02/14/2023,,,192.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,27.0,0.0,0.0,0.0
Nagpur,P50500016768,NEERAV NIVAS,RAMDEO REALTORS,440010,,New Project,12/30/2021,,,Residential,518.8,0.0,718.8,02/27/2020,,,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,1.0,1.0
Nagpur,P50500017161,SKYLINE SIGNATURE,M.S. Associate Builders,440013,"('21.148373000000000','79.071588499999960')",New Project,06/30/2023,,,Residential,1249.9,0.0,1936.82,07/11/2018,,,32.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,8.0
Nagpur,P50500017076,SIDDHI VINAYAK REGENCY,ARJUN  SHAHANE,440034,,New Project,12/31/2019,,,Residential,509.12,0.0,500.03,07/04/2018,,,15.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
Nagpur,P50500016949,Construction of 288 EWS & 36 LIG Flats at Beltarodi nagpur.,MHADA(Nagpur Board),440005,,New Project,12/31/2023,,,Residential,8775.0,878.0,10024.14,11/09/2020,,,504.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,70.0,7.0,1.0,6.0
Nagpur,P50500016930,CREATIVE HOME MEADOWS,DEVRAJ  DHAWAN,440013,,New Project,06/30/2022,,,Residential,1391.0,1391.0,2255.0,06/18/2018,,,40.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,40.0,0.0
