district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Raigarh,P52000033424,VARDHAMAN ARCADE A WING,VARDHAMAN CONSTRUCTION,402109,,New Project,12/24/2027,,,Residential,1169.0,1169.0,3404.36,12/04/2023,,,59.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0
Raigarh,P52000033774,VARDHAMAN ARCADE B WING,VARDHAMAN CONSTRUCTION,402109,,New Project,12/24/2027,,,Residential,1129.93,1129.93,3500.07,12/04/2023,,,56.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0
Raigarh,P51700033589,AMBER HERITAGE,V N DEVELOPERS,410101,,New Project,01/29/2025,,,Residential,1463.39,0.0,3277.75,09/17/2023,,,92.0,46.0,0.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0
Raigarh,P52000033695,Alibag Westend,ACORP,402201,,New Project,12/31/2027,,,Residential,293.0,0.0,515.66,12/30/2023,,,12.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
Raigarh,P52000034022,Amulyam,Space India Builders & Developer,410208,,New Project,12/31/2025,,,Residential,5540.0,542.06,5056.85,10/06/2023,,,110.0,50.0,0.0,3.0,0.0,21.0,3.0,0.0,39.0,0.0,0.0,0.0
Raigarh,P52000033834,Belmac Riverside - III B BLDG,SUPREME HOLDINGS & HOSPITALITY (INDIA) LIMITED,410206,,New Project,08/15/2025,,,Residential,5476.37,547.63,2852.37,11/16/2023,,,73.0,0.0,0.0,1.0,0.0,8.0,0.0,20.0,16.0,0.0,0.0,0.0
Raigarh,P52000033450,SHREE KRISHNA AVENUE,SHREE KRISHNA BUILT HOME,410206,,New Project,12/31/2023,,,Residential,220.0,0.0,497.0,06/26/2022,,,16.0,0.0,0.0,1.0,0.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0
Raigarh,P52000033852,IRA APARTMENT,PRASHANT PRAKASH SAWANT,410101,"('19.022528000000000','73.319528000000000')",New Project,12/31/2026,,,Residential,500.0,0.0,1122.61,03/03/2023,,,,,0.0,8.0,0.0,8.0,0.0,18.0,0.0,0.0,0.0,0.0
Raigarh,P52000033451,CHANDRADARSHAN HEIGHTS PHASE II,M/S R J DEVELOPERS,402109,,New Project,03/31/2025,,,Residential,490.0,0.0,862.1,02/18/2022,,,20.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,13.0,0.0,0.0,0.0
Raigarh,P52000034269,KRISHNA RESIDENCY,PRATAP BABAJI SHINDE,410208,"('21.897400300000000','83.394963199999990')",New Project,12/31/2025,,,Residential,1970.0,0.0,5094.0,11/08/2023,,,119.0,0.0,0.0,1.0,1.0,11.0,1.0,97.0,33.0,0.0,0.0,0.0
